City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vardo,1.0,US,11/02/19,43.0,39.62,-77.74,54.0,4.7
Rikitea,57.0,PF,11/02/19,80.0,-23.12,-134.97,70.5,15.3
Barrow,0.0,AR,11/02/19,60.0,-38.31,-60.23,59.7,12.1
Hofn,100.0,IS,11/02/19,89.0,64.25,-15.21,40.03,32.48
Comodoro Rivadavia,3.0,AR,11/02/19,28.0,-45.87,-67.48,71.6,17.22
Bonavista,45.0,CA,11/02/19,75.0,48.65,-53.11,44.01,4.0
Flores,16.0,BR,11/02/19,37.0,-7.86,-37.97,85.14,19.3
Cape Town,40.0,ZA,11/02/19,82.0,-33.93,18.42,66.0,10.29
Sambava,100.0,MG,11/02/19,99.0,-14.27,50.17,70.2,1.25
Lebu,20.0,ET,11/02/19,48.0,8.96,38.73,60.8,6.93
Liverpool,75.0,GB,11/02/19,100.0,53.41,-2.98,46.99,3.36
Leningradskiy,0.0,RU,11/02/19,73.0,69.38,178.42,10.47,5.7
Kasungu,0.0,MW,11/02/19,64.0,-13.04,33.48,69.71,4.21
Avarua,100.0,CK,11/02/19,69.0,-21.21,-159.78,77.0,17.22
Padang,67.0,ID,11/02/19,90.0,-0.92,100.36,64.17,2.15
Port Alfred,15.0,ZA,11/02/19,86.0,-33.59,26.89,63.0,3.0
Kapaa,20.0,US,11/02/19,69.0,22.08,-159.32,82.4,12.75
Tiksi,22.0,RU,11/02/19,84.0,71.64,128.87,-3.66,4.9
Trat,100.0,TH,11/02/19,75.0,12.25,102.51,81.0,8.28
Yulara,0.0,AU,11/02/19,24.0,-25.24,130.99,68.0,18.34
Victoria,75.0,BN,11/02/19,94.0,5.28,115.24,77.0,7.54
Busselton,82.0,AU,11/02/19,71.0,-33.64,115.35,53.01,6.11
Grand Gaube,75.0,MU,11/02/19,78.0,-20.01,57.66,73.4,12.75
Atuona,98.0,PF,11/02/19,72.0,-9.8,-139.03,80.01,14.36
Mataura,0.0,NZ,11/02/19,56.0,-46.19,168.86,64.94,9.51
Te Anau,0.0,NZ,11/02/19,88.0,-45.41,167.72,52.84,7.83
Mahebourg,75.0,MU,11/02/19,78.0,-20.41,57.7,73.4,12.75
Butaritari,2.0,KI,11/02/19,77.0,3.07,172.79,83.48,14.2
Hermanus,100.0,ZA,11/02/19,82.0,-34.42,19.24,64.0,5.01
Jamsa,90.0,FI,11/02/19,93.0,61.86,25.19,37.99,5.82
Yellowknife,90.0,CA,11/02/19,92.0,62.45,-114.38,26.01,8.05
Sao Francisco Do Sul,75.0,BR,11/02/19,78.0,-26.24,-48.64,80.6,8.05
Port Augusta,69.0,AU,11/02/19,87.0,-32.49,137.76,57.2,8.05
Abong Mbang,84.0,CM,11/02/19,95.0,3.98,13.18,67.51,0.98
New Norfolk,20.0,AU,11/02/19,81.0,-42.78,147.06,54.0,6.93
Cabo San Lucas,5.0,MX,11/02/19,38.0,22.89,-109.91,88.0,9.17
Ucluelet,90.0,CA,11/02/19,100.0,48.94,-125.55,48.99,4.7
Nikolskoye,90.0,RU,11/02/19,86.0,59.7,30.79,37.4,11.18
Aklavik,90.0,CA,11/02/19,92.0,68.22,-135.01,26.6,8.05
Gambo,47.0,CF,11/02/19,97.0,4.65,22.26,70.0,1.21
Flinders,40.0,AU,11/02/19,82.0,-34.58,150.85,66.2,1.12
Puerto Ayora,20.0,EC,11/02/19,57.0,-0.74,-90.35,80.6,20.8
Hilo,1.0,US,11/02/19,58.0,19.71,-155.08,82.4,11.74
Saint-Philippe,40.0,CA,11/02/19,49.0,45.36,-73.48,46.4,5.19
Katsuura,75.0,JP,11/02/19,87.0,33.93,134.5,53.6,6.93
Tuktoyaktuk,75.0,CA,11/02/19,100.0,69.44,-133.03,24.8,2.24
Ushuaia,75.0,AR,11/02/19,61.0,-54.81,-68.31,50.0,21.92
Kavaratti,0.0,IN,11/02/19,74.0,10.57,72.64,80.51,1.34
Cloquet,90.0,US,11/02/19,50.0,46.72,-92.46,34.0,18.34
Novopokrovka,93.0,UA,11/02/19,74.0,49.84,36.56,30.2,6.71
Bethel,1.0,US,11/02/19,79.0,60.79,-161.76,24.8,16.11
Perth,75.0,AU,11/02/19,93.0,-31.95,115.86,59.0,6.93
Hithadhoo,0.0,MV,11/02/19,68.0,-0.6,73.08,81.72,3.42
Karasjok,81.0,NO,11/02/19,85.0,69.47,25.52,12.2,12.75
Bredasdorp,79.0,ZA,11/02/19,67.0,-34.53,20.04,64.0,18.34
Jamestown,59.0,AU,11/02/19,49.0,-33.21,138.6,56.62,2.17
Maceio,40.0,BR,11/02/19,69.0,-9.67,-35.74,80.6,14.99
Meulaboh,99.0,ID,11/02/19,77.0,4.14,96.13,78.69,6.26
Vestmannaeyjar,100.0,IS,11/02/19,71.0,63.44,-20.27,41.92,19.82
Paamiut,47.0,GL,11/02/19,55.0,61.99,-49.67,33.91,5.93
Scarborough,100.0,GB,11/02/19,100.0,54.28,-0.41,48.0,6.93
Chittaurgarh,0.0,IN,11/02/19,79.0,24.88,74.62,71.83,6.4
Newtonmore,75.0,GB,11/02/19,93.0,57.07,-4.12,50.0,18.34
Codrington,0.0,AU,11/02/19,100.0,-28.95,153.24,66.0,8.05
Biltine,59.0,TD,11/02/19,16.0,14.53,20.93,81.46,10.98
Albany,20.0,US,11/02/19,43.0,42.65,-73.75,51.01,8.05
Clyde River,20.0,CA,11/02/19,53.0,70.47,-68.59,23.0,8.05
Kruisfontein,0.0,ZA,11/02/19,76.0,-34.0,24.73,59.79,16.33
Maniitsoq,3.0,GL,11/02/19,52.0,65.42,-52.9,29.68,4.61
Bambous Virieux,75.0,MU,11/02/19,78.0,-20.34,57.76,73.4,12.75
Inhambane,20.0,MZ,11/02/19,73.0,-23.87,35.38,75.2,13.87
Kirakira,100.0,SB,11/02/19,83.0,-10.46,161.92,79.65,11.72
Souillac,100.0,FR,11/02/19,93.0,45.6,-0.6,57.0,19.46
Bilibino,0.0,RU,11/02/19,90.0,68.06,166.44,3.78,2.73
Hovd,20.0,NO,11/02/19,100.0,63.83,10.7,37.99,1.12
Channel-Port Aux Basques,0.0,CA,11/02/19,66.0,47.57,-59.14,40.1,8.84
Ponte De Sor,100.0,PT,11/02/19,89.0,39.25,-8.01,64.0,5.01
